timestamp,value,volume
2023-06-24,30527.43,30513.30135000
2023-06-25,30462.66,30223.44801000
2023-06-26,30267.99,45180.41489000
2023-06-27,30692.44,42699.64157000
2023-06-28,30077.41,40463.51937000
2023-06-29,30447.31,36330.62903000
2023-06-30,30472.00,89419.07618000
2023-07-01,30585.90,17501.75075000
2023-07-02,30617.03,23286.41019000
2023-07-03,31156.20,43761.64311000
2023-07-04,30766.51,33206.11943000
2023-07-05,30504.81,33215.67122000
2023-07-06,29895.43,71319.62610000
2023-07-07,30344.70,34070.53895000
2023-07-08,30284.63,13094.59042000
2023-07-09,30160.71,15388.50196000
2023-07-10,30411.57,41262.87652000
2023-07-11,30622.10,28476.83311000
2023-07-12,30380.00,38108.99669000
2023-07-13,31454.23,70772.51836000
2023-07-14,30312.01,60749.48424000
2023-07-15,30289.52,14118.55329000
2023-07-16,30231.99,15760.12810000
2023-07-17,30138.00,30882.76839000
2023-07-18,29859.13,30003.86010000
2023-07-19,29909.21,25657.36137000
2023-07-20,29800.00,37540.68193000
2023-07-21,29901.72,23881.40865000
2023-07-22,29794.00,14660.40467000
2023-07-23,30083.75,18292.78637000
2023-07-24,29176.50,39628.99691000
2023-07-25,29228.91,21565.74780000
2023-07-26,29351.96,33931.63366000
2023-07-27,29222.78,22476.47626000
2023-07-28,29314.14,23993.61627000
2023-07-29,29352.90,10851.36844000
2023-07-30,29281.09,15706.97441000
2023-07-31,29232.25,22605.48964000
2023-08-01,29705.99,44719.65162000
2023-08-02,29186.01,48181.65141000
2023-08-03,29193.64,26476.91994000
2023-08-04,29113.99,23551.95217000
2023-08-05,29072.13,11645.52018000
2023-08-06,29088.42,13178.19720000
2023-08-07,29211.06,30966.87746000
2023-08-08,29770.42,45700.53392000
2023-08-09,29581.99,38003.88725000
2023-08-10,29455.75,23463.45373000
2023-08-11,29426.03,20637.04430000
2023-08-12,29430.17,8971.48068000
2023-08-13,29303.84,11101.70947000
2023-08-14,29430.93,31443.11532000
2023-08-15,29200.00,27503.87691000
2023-08-16,28730.51,32996.69854000
2023-08-17,26623.41,100271.54033000
2023-08-18,26054.00,69790.65711000
2023-08-19,26100.01,26160.75343000
2023-08-20,26189.99,19056.91209000
2023-08-21,26126.92,30267.24233000
2023-08-22,26056.00,34247.06688000
2023-08-23,26432.72,44023.69978000
2023-08-24,26180.05,30205.22116000
2023-08-25,26060.01,27753.33772000
2023-08-26,26017.37,10022.22322000
2023-08-27,26101.77,12099.64216000
2023-08-28,26120.00,22692.62655000
2023-08-29,27716.34,74251.99488000
2023-08-30,27299.99,35448.25848000
2023-08-31,25940.78,51032.80401000
2023-09-01,25805.05,41032.15056000
2023-09-02,25869.51,16250.77698000
2023-09-03,25971.21,17474.47667000
2023-09-04,25826.02,21777.59609000
2023-09-05,25792.10,21323.39337000
2023-09-06,25759.95,27262.52386000
2023-09-07,26255.00,27687.49567000
2023-09-08,25910.50,28999.76471000
2023-09-09,25901.61,10980.62277000
2023-09-10,25841.61,18738.26914000
2023-09-11,25162.52,41682.32000000
2023-09-12,25840.10,56434.38537000
2023-09-13,26222.00,31610.82753000
2023-09-14,26522.73,38333.17250000
2023-09-15,26600.00,26227.29369000
2023-09-16,26559.67,13960.93351000
2023-09-17,26527.51,12998.10277000
2023-09-18,26762.51,43000.43256000
2023-09-19,27210.26,36190.52187000
2023-09-20,27125.00,34207.21867000
2023-09-21,26568.08,34476.82662000
2023-09-22,26580.14,18198.22920000
2023-09-23,26575.96,9440.70260000
2023-09-24,26248.38,15706.65771000
2023-09-25,26304.81,26266.20390000
2023-09-26,26221.67,18495.35066000
2023-09-27,26372.99,34771.57978000
2023-09-28,27021.39,44517.83491000
2023-09-29,26906.96,28478.76219000
2023-09-30,26962.56,12804.62307000
2023-10-01,27992.57,24602.81468000
2023-10-02,27494.51,57071.14241000
2023-10-03,27426.46,28928.96555000
2023-10-04,27778.57,29816.14200000
2023-10-05,27410.39,30681.49619000
2023-10-06,27931.09,37983.24277000
2023-10-07,27956.67,13348.83825000
2023-10-08,27917.05,19693.56921000
2023-10-09,27590.12,31534.74639000
2023-10-10,27390.12,22776.84383000
2023-10-11,26875.52,37349.44706000
2023-10-12,26759.63,23428.64112000
2023-10-13,26862.00,24115.76499000
2023-10-14,26852.48,10417.25576000
2023-10-15,27154.15,15274.69170000
2023-10-16,28500.78,78399.22445000
2023-10-17,28395.91,38428.44532000
2023-10-18,28320.00,32162.47591000
2023-10-19,28713.71,35895.50179000
2023-10-20,29669.04,59422.09920000
2023-10-21,29909.80,27517.51897000
2023-10-22,29992.46,22852.54563000
2023-10-23,33069.99,93513.64246000
2023-10-24,33922.73,115265.02418000
2023-10-25,34496.05,54887.02529000
2023-10-26,34151.66,39744.66255000
2023-10-27,33892.02,32330.40106000
2023-10-28,34081.00,16880.13144000
2023-10-29,34525.89,20685.52176000
2023-10-30,34474.73,33657.95976000
2023-10-31,34639.77,32737.89822000
2023-11-01,35421.43,53473.28165000
2023-11-02,34941.59,48015.57732000
2023-11-03,34716.78,39071.20644000
2023-11-04,35062.07,18377.55545000
2023-11-05,35011.88,24528.73376000
2023-11-06,35046.09,22346.47086000
2023-11-07,35399.12,38688.73692000
2023-11-08,35624.72,33401.34137000
2023-11-09,36701.09,82537.88885000
2023-11-10,37301.63,43414.04898000
2023-11-11,37130.00,22984.97235000
2023-11-12,37064.13,17687.18874000
2023-11-13,36462.93,32798.18252000
2023-11-14,35551.19,45503.68416000
2023-11-15,37858.20,53569.13385000
2023-11-16,36163.51,47490.39566000
2023-11-17,36613.92,38283.61112000
2023-11-18,36568.10,17102.24186000
2023-11-19,37359.86,21246.34648000
2023-11-20,37448.78,36022.70291000
2023-11-21,35741.65,47646.54804000
2023-11-22,37408.34,45051.30697000
2023-11-23,37294.28,23827.92882000
2023-11-24,37713.57,44680.80646000
2023-11-25,37780.67,11396.14464000
2023-11-26,37447.43,21264.53723000
2023-11-27,37242.70,30001.07376000
